time,precip_mm
1981-01-01,76.68236
1981-02-01,50.802937
1981-03-01,96.47205
1981-04-01,75.1553
1981-05-01,78.96703
1981-06-01,87.93086
1981-07-01,64.01159
1981-08-01,62.28621
1981-09-01,101.069466
1981-10-01,102.54972
1981-11-01,96.981766
1981-12-01,134.61565
1982-01-01,47.868332
1982-02-01,35.649204
1982-03-01,96.590294
1982-04-01,85.74111
1982-05-01,67.52848
1982-06-01,67.66037
1982-07-01,89.12885
1982-08-01,78.490524
1982-09-01,36.06746
1982-10-01,66.847275
1982-11-01,64.88885
1982-12-01,127.70767
1983-01-01,29.249355
1983-02-01,48.00314
1983-03-01,52.220154
1983-04-01,56.34833
1983-05-01,74.00708
1983-06-01,101.27928
1983-07-01,74.51709
1983-08-01,38.101685
1983-09-01,74.326385
1983-10-01,35.93747
1983-11-01,49.440388
1983-12-01,82.6692
1984-01-01,83.41741
1984-02-01,85.700554
1984-03-01,71.11797
1984-04-01,66.11768
1984-05-01,96.14696
1984-06-01,57.43433
1984-07-01,49.642654
1984-08-01,68.492004
1984-09-01,78.478676
1984-10-01,43.99492
1984-11-01,61.946194
1984-12-01,37.42071
1985-01-01,90.979675
1985-02-01,54.057274
1985-03-01,77.270294
1985-04-01,70.242195
1985-05-01,69.78639
1985-06-01,88.77427
1985-07-01,31.540588
1985-08-01,100.49304
1985-09-01,26.412537
1985-10-01,22.695951
1985-11-01,178.4084
1985-12-01,58.98899
1986-01-01,100.30426
1986-02-01,113.8788
1986-03-01,76.472565
1986-04-01,69.08085
1986-05-01,75.32068
1986-06-01,95.9525
1986-07-01,71.5066
1986-08-01,43.583397
1986-09-01,31.220413
1986-10-01,50.740627
1986-11-01,21.234753
1986-12-01,61.74822
1987-01-01,111.11755
1987-02-01,38.81551
1987-03-01,87.406906
1987-04-01,96.341606
1987-05-01,124.189316
1987-06-01,64.725006
1987-07-01,54.664722
1987-08-01,55.499306
1987-09-01,30.745829
1987-10-01,43.390358
1987-11-01,95.60222
1987-12-01,78.078705
1988-01-01,51.364952
1988-02-01,86.072845
1988-03-01,103.60548
1988-04-01,73.98899
1988-05-01,65.61683
1988-06-01,89.3572
1988-07-01,34.10769
1988-08-01,33.274258
1988-09-01,69.044556
1988-10-01,46.193977
1988-11-01,76.42064
1988-12-01,63.886147
1989-01-01,9.976777
1989-02-01,22.940687
1989-03-01,57.588734
1989-04-01,112.52436
1989-05-01,96.9023
1989-06-01,116.04012
1989-07-01,59.21008
1989-08-01,86.800705
1989-09-01,51.39663
1989-10-01,60.953148
1989-11-01,87.41142
1989-12-01,60.21845
1990-01-01,27.813017
1990-02-01,38.32049
1990-03-01,33.101555
1990-04-01,99.70463
1990-05-01,62.73778
1990-06-01,71.639626
1990-07-01,45.9113
1990-08-01,39.30853
1990-09-01,49.771484
1990-10-01,61.276707
1990-11-01,76.71263
1990-12-01,120.795815
1991-01-01,19.002874
1991-02-01,72.83889
1991-03-01,78.015434
1991-04-01,95.812004
1991-05-01,101.66755
1991-06-01,69.10669
1991-07-01,82.33098
1991-08-01,67.42944
1991-09-01,46.60185
1991-10-01,103.9806
1991-11-01,112.97727
1991-12-01,38.308933
1992-01-01,29.125366
1992-02-01,17.035505
1992-03-01,35.90816
1992-04-01,103.18464
1992-05-01,62.571644
1992-06-01,132.05585
1992-07-01,50.680656
1992-08-01,29.048895
1992-09-01,38.16806
1992-10-01,124.270325
1992-11-01,88.207794
1992-12-01,71.11356
1993-01-01,20.121237
